"","combid","Def_12_x","Def_13_x","Def_14_x","Def_15_x","Def_16_x","Def_17_x","Def_18_x","Def_19_x","Def_20_x","Def_21_x","Def_22_x","Def_12_y","Def_13_y","Def_14_y","Def_15_y","Def_16_y","Def_17_y","Def_18_y","Def_19_y","Def_20_y","Def_21_y","Def_22_y"
"1","2017101600_777",44.28,22.55,23.65,42.3,41.25,36.48,10.79,48.7,21.93,43.2,41.99,26.73,29.73,18.71,11.78,16.74,12.87,17.29,35.25,16.23,33.84,20.08
"2","2017101600_45",87.21,80.83,88.52,82.4,80.35,80.48,88.15,84.79,85.56,110,91.01,19.22,10.76,35.78,35.72,15.63,36.53,24.68,20.16,21.4,21.73,13.77
"3","2017101600_3188",31.79,40.06,31.39,36.4,35.99,31.09,33.95,35.3,34.31,5.88,31.16,22.53,41.92,7.46,24.12,9.19,18.66,18.05,15.81,13.18,13.24,29.39
"4","2017101600_3024",81.19,95.18,98.67,83.33,84.03,88.17,109.86,76.13,98.83,84.82,81.76,30.27,24.96,31.71,42.44,39.78,39.58,31.7,22.98,33.01,24.08,32.69
"5","2017101600_276",37.74,33.75,22.08,33.5,35.31,33.06,9.09,35.44,22.17,35.11,39.79,19.42,24.09,19.39,12.7,14.29,18.33,14.64,33.38,18.44,31.69,19.45
"6","2017101600_2487",40.21,28.15,20.6,34.18,41.27,35.2,6.93,37.02,20.5,34.53,38.67,31.32,34.26,35.52,42.91,27.36,33.6,37.57,24.19,31.87,39.92,32.56
"7","2017101600_2125",39.5,31.13,21.01,34.14,38.65,32.53,7.67,38.64,20.59,35.18,39.84,33.36,29.5,38.15,42.58,25.99,37.23,47.45,22.15,39.27,39.79,36.34
"8","2017101600_1783",36.22,29.95,20.79,31.89,35.37,30.9,3.79,35.42,21.01,33.06,33.54,34.34,27.9,33.19,40.14,24.68,34.16,36.44,20.84,33.84,37.13,30.46
"9","2017101600_1050",32.44,37.6,34.53,36.93,35.7,37.47,32.97,35.68,35.83,9.41,32.29,25.36,38.73,10.86,14.63,27.78,12.48,19.12,19.2,17.51,24.07,33.57
"10","2017101511_431",20.56,39.17,39.98,38.45,38.97,39.59,8.95,19.73,31.18,2.29,38.43,16.55,30.28,18.59,11.77,25.95,33.92,20.43,21.57,25.12,18.58,16.16
"11","2017101511_4158",99.47,79.08,80.46,78.66,77.91,64.31,111.15,99.13,72.95,118.38,78.43,34.86,23.02,32.22,39.13,25.55,23.15,34.85,28.5,19.3,37.01,33.28
"12","2017101511_3897",39.72,65.45,56.46,68.81,62.12,63.18,67.59,65.53,63.74,62.12,66.15,38.05,46.96,16.29,43.96,37.49,30.11,45.96,50.01,43.97,45.38,25.72
"13","2017101511_36",29.54,37.02,38.93,38.88,38.64,35.68,31.92,33.47,34.98,4.34,38.12,19.6,27.67,23.29,14.55,25.49,32.11,25.29,28.83,23.85,19.7,21.41
"14","2017101511_2227",116.9,99.57,89.77,97.79,88.8,83.74,86.92,90.78,82.78,87.93,84.77,8.9,13.58,33.21,24.19,14.71,18.31,29.37,11.45,26,41.24,20.52
"15","2017101511_1990",100.97,82.31,81.23,81.13,81.35,62.14,110.6,99.99,68.28,117.67,80.16,36.22,21.05,29.36,38.43,23.79,25.19,34.91,31.08,17.97,36.65,32.14
"16","2017101510_602",22.33,25.66,35.29,35.34,34.48,25.54,2.62,35.22,36.32,7.28,38.21,24.13,21.64,14.87,27.4,12.12,17.42,25.2,22.18,31.55,26.18,14.34
"17","2017101510_36",24.8,28.57,38.64,39.78,39.17,24.88,12.64,40.56,39.05,16.34,38.78,25.76,25.39,14.05,20.61,30.47,24.04,20.97,24.16,34.09,22.75,18.14
"18","2017101510_3114",26.91,25.36,33.09,33.41,31.88,26.28,3.32,33.28,38.12,2.36,37.78,22.86,23.76,18.79,30.02,12.31,20.17,30.84,24.33,28.95,30.92,13.63
"19","2017101510_2957",85.16,98.01,75.76,86.61,75.69,75.48,89.7,76.63,73.56,88.42,72.44,34.1,27.27,22.04,33.05,34.94,38.76,28.94,25.55,27.15,36.08,43.13
"20","2017101510_1915",34.41,14.3,43,32.83,43.37,44,28.87,42.97,39.43,30.13,44.44,15.1,31.41,30.08,18.94,16.1,12.66,25.2,27.23,23.21,11.83,8.42
"21","2017101510_1611",23.67,11.52,40.46,24.3,40.89,41.38,18.49,40.67,38.07,17.89,39.77,23.02,25.67,36.08,24.04,23.38,17.95,28.94,31.85,28.57,22.02,12.57
"22","2017101510_1576",31.42,14.29,41.97,33.09,40.73,42.35,29.35,42.69,35.76,24.05,41.53,35.56,35.44,42.93,40.15,36.6,28.54,41.95,40.1,33.02,30.89,21.83
"23","2017101509_939",83.6,75.95,81,68.91,87.93,93.63,69.85,78.52,71.54,74.28,69.31,16.78,16.27,22.26,30.84,19.21,21.02,22.32,19.67,25.8,14.5,19.41
"24","2017101509_523",84.86,79.38,82.14,96.73,78.68,99.09,108.63,76.05,99.22,76.51,114.18,31.01,42.69,20.79,36.46,36.29,25.77,31.11,27.03,28.82,23.17,29.77
"25","2017101509_48",85.83,76.63,78.89,97.87,77.91,100.82,115.96,75.55,100.64,74.91,110.43,32.32,44.05,20.61,40.82,39.07,27.02,35.78,27.61,31.5,24.52,30.99
"26","2017101509_3358",56.93,59.07,49.98,45.21,53.17,60.16,59.83,57.61,55.01,50.49,24.39,15.88,22.45,22.72,36.64,34.19,3.5,29.61,47.96,38.76,13.03,16.55
"27","2017101509_3201",93.99,82.61,93.9,74.79,105.71,81.78,80.79,83.19,80.98,81.45,101.46,16.26,16.36,19.99,24.91,20.03,23.81,16.04,25.57,14.83,18.75,24.78
"28","2017101509_1566",91.44,82.45,88.61,85.09,107.98,115.52,83.48,87.05,82.17,82.23,82.33,29.61,26.69,38.55,43.89,34.12,46.79,35.35,32.35,38.62,22.65,31.27
"29","2017101508_80",71.78,68.78,83.95,95.09,99.93,81.5,114.44,100.01,83.82,66.54,67.29,23.04,17.96,18.05,38.22,29.85,20.34,36.42,31.11,41.47,37.72,36.58
"30","2017101508_571",33.96,34.71,35.02,19.29,1.53,39.64,39.54,12.55,17.4,35.43,41.32,18.46,23.82,28.49,17.61,13.45,18.94,17.37,20.14,14.23,14.31,13.9
"31","2017101508_449",68.2,68.27,80.48,90.8,98.6,80.43,113.04,99.52,80.61,66.61,65.35,27.33,23.85,19.69,38.53,30.83,24.61,38.37,34.21,42.35,35.43,30.2
"32","2017101508_41",32.82,35.5,37.44,22.17,6.41,39.95,39.52,13.97,22.1,35.56,38.1,19.22,24.93,30.32,17.2,8.25,19.85,16.58,16.22,15,13.05,9.34
"33","2017101508_3893",85.82,81.79,83.85,99.4,108.77,80.12,119.01,99.36,82.74,85.13,65.37,21.28,29.6,15.99,37.17,33.28,25.64,39.55,35.7,43.51,41.39,31.77
"34","2017101508_2806",85.29,83.85,98.59,87.58,116.72,79.76,80.27,107.18,99.05,84.88,83.14,27.96,23.63,36.36,33.98,30.83,35.09,36.71,29.48,38.07,39.68,42.26
"35","2017101508_2207",49.2,50.38,35.6,29.33,19.68,39.4,4.8,19.63,39.1,43.44,47.08,40.39,38.03,40.2,22.48,31.99,36.55,29.39,30.78,15.96,23.13,25.23
"36","2017101508_133",33.39,33.6,33.79,21.96,10.84,38.4,38.28,16.59,34.26,21.62,34.68,38,41.63,44.26,44.83,45.3,39.35,37.86,39.46,29.43,41.42,26.93
"37","2017101508_1008",86.15,82.18,85.95,85,100.46,86.01,118.98,92.12,84.14,83.63,84,18.03,29.37,22.1,39.36,35.81,26.21,30.23,41.16,42.69,41.79,37.58
"38","2017101507_597",17.1,10.25,17.97,3.44,34.95,37.05,36.42,24.99,34.96,36.68,36.5,17.18,13.67,16.88,12.51,28.61,16.62,11.98,28.21,22.12,34.71,26.8
"39","2017101507_4223",56.25,58.44,55.99,54.31,54.04,55.77,59.65,50.88,82.85,51.86,52.27,20.49,8.3,32.82,8.81,13.7,40.39,39.72,1.23,21.74,7.03,9.7
"40","2017101507_3940",52.58,58.32,53.53,55.71,52.7,51.69,53.08,53.78,63.59,55.63,58.14,43.79,21.01,43.37,30.54,40.23,44.28,45.19,24.8,45.76,27.03,34.32
"41","2017101507_37",82.55,109.72,114.86,94.44,73.09,94.73,87.57,95.06,81.27,81.62,72.06,36.67,32.86,34.91,34.16,28.04,32.98,41.5,24.05,24.24,19.62,29.12
"42","2017101507_3523",22.06,13.41,21.2,7.54,34.09,38.38,35.21,25.26,35.38,34.44,37.12,42.99,38.88,35.25,44.36,39.21,28.77,17.81,43.95,31.93,43.15,35.04
"43","2017101507_3069",83.75,100.04,114.28,93.79,80.1,93.62,86.92,100.93,80.78,82.64,78.01,37.42,23.16,30.93,31.49,26.92,30.41,42.2,37.91,21.62,17.05,33.2
"44","2017101507_2937",82.25,95.37,113.73,90.81,77.44,91.31,85.2,94,79.43,78.45,76.32,37.68,16.81,32.6,32.08,30.29,30.88,42.23,41.03,22.53,16.78,29
"45","2017101507_2377",38.21,22.56,5.61,28.81,41.01,28.9,35.01,23.27,41.29,40.18,42.84,16.41,32.56,20.97,21.5,22.38,22.89,10.99,12.02,31.22,37.01,25.37
"46","2017101507_221",34.85,13.64,20.94,7.07,34.03,35.29,44.74,20.91,32.78,37.54,34,38.07,18.62,26.88,18.85,36.02,23.28,20.69,31.41,27.24,40.2,32.21
"47","2017101507_2153",98.26,108.16,100.42,115.41,86.43,82.75,83.09,93.66,83.29,78.26,83.49,13.99,18.91,22.94,15.73,15.41,24.79,35.51,11.27,21.91,19.79,19.19
"48","2017101507_1977",99.5,106.84,99.74,113.38,85.58,82.35,82.39,96.78,85.05,76.2,83.42,34.76,34.56,35.83,36.07,27.09,36.42,41.84,27.12,32.5,22.99,28.99
"49","2017101507_1497",87.8,109.02,100.12,116.03,84.96,83.94,83.19,99.85,84.03,83.49,84.13,36.29,26.06,30.68,26.03,22.18,34.15,45.64,25.74,30.81,19.67,26.1
"50","2017101507_1063",86,107.85,96.89,113.67,83.39,83.15,83.13,96.99,83.35,82.58,82.33,36.17,27.51,32.4,27.44,21.37,34.87,43.25,26.9,31.61,18.21,28.27
