"","combid","Poss_1_x","Poss_2_x","Poss_3_x","Poss_4_x","Poss_5_x","Poss_6_x","Poss_7_x","Poss_8_x","Poss_9_x","Poss_10_x","Poss_11_x","Poss_1_y","Poss_2_y","Poss_3_y","Poss_4_y","Poss_5_y","Poss_6_y","Poss_7_y","Poss_8_y","Poss_9_y","Poss_10_y","Poss_11_y"
"1","2017101600_777",60.7,54.02,52.85,53.48,53.32,49.85,51.52,50.23,53.03,51,58.12,27.05,41.08,12.6,8.29,34.92,16.68,30.84,20.54,39.37,28.97,6.74
"2","2017101600_45",78,78.73,78.51,74.54,70.5,72.36,80.75,75.98,77.44,64.12,81.09,7.33,40.42,36.79,17.99,15.35,39.9,20.74,15.07,31.99,24.43,28.61
"3","2017101600_3188",40.08,38.29,36.19,39.72,39.04,39.45,33.67,40.86,38.86,56.64,35.27,43.25,11.27,6.29,24.74,42.44,8.78,21.71,29.05,15.52,24.75,17.24
"4","2017101600_3024",64.55,75.05,79.36,76.22,75.88,80.51,79.13,79.28,77.93,80.07,71.8,27.26,15.32,40.66,43.98,20.77,37.39,31.46,24.32,15.63,27.46,45.41
"5","2017101600_276",52.12,43.63,41.23,40.54,37.53,37.54,39.59,39.59,40.39,38.83,47.59,23.4,36.15,17.31,9.8,13.5,17.16,28.65,34.08,37.49,24.5,5.34
"6","2017101600_2487",55.72,40.06,38.95,42.37,42.39,40.72,38.94,40.5,39.18,40.4,48.86,35.8,17.79,42.75,44.61,26.26,37.12,34.98,29.51,20.96,30.6,45.39
"7","2017101600_2125",56.46,40.89,41.13,43.08,40.45,40.75,42.07,40.57,40.7,38.66,49.16,38.2,17.66,43.96,47.45,24.81,38.28,35.73,28.61,20.67,30,46.14
"8","2017101600_1783",54.08,37.77,39.04,40.35,37.02,36.71,36.21,37.07,36.51,34.94,48.15,36.73,16.27,41.04,43.93,23.51,37.51,35.16,27.95,19.35,29.02,44.29
"9","2017101600_1050",41.82,40.67,39.66,40.86,45.49,42.19,37.39,41.73,41.22,56.41,37.84,37.57,13.67,8.6,28.43,41.84,11.07,24.07,31.85,16.86,26.21,19.01
"10","2017101511_431",46.76,47.27,52.83,47.24,47.66,54.62,45.89,46.22,53.61,48.64,61.17,24.53,7.74,13.9,17.87,29.08,8.85,35.08,20.86,37.22,39.11,23.63
"11","2017101511_4158",70.72,70.51,66.5,69.12,70.73,63.88,74.07,71.48,65.73,71.42,55.56,27.53,10.63,14.63,20.99,35.02,9.68,39.83,31.33,43.4,43.56,29.31
"12","2017101511_3897",68.86,69.45,66.35,71.19,64.29,66.76,65.26,63.03,68.49,78.23,66.56,31.72,45.01,41.28,27.77,43.47,30.31,47.78,47.76,46.37,18.42,32.13
