"","combid","Poss_1_x","Poss_2_x","Poss_3_x","Poss_4_x","Poss_5_x","Poss_6_x","Poss_7_x","Poss_8_x","Poss_9_x","Poss_10_x","Poss_11_x","Def_12_x","Def_13_x","Def_14_x","Def_15_x","Def_16_x","Def_17_x","Def_18_x","Def_19_x","Def_20_x","Def_21_x","Def_22_x","Poss_1_y","Poss_2_y","Poss_3_y","Poss_4_y","Poss_5_y","Poss_6_y","Poss_7_y","Poss_8_y","Poss_9_y","Poss_10_y","Poss_11_y","Def_12_y","Def_13_y","Def_14_y","Def_15_y","Def_16_y","Def_17_y","Def_18_y","Def_19_y","Def_20_y","Def_21_y","Def_22_y"
"1","2017101600_777",60.7,54.02,52.85,53.48,53.32,49.85,51.52,50.23,53.03,51,58.12,44.28,22.55,23.65,42.3,41.25,36.48,10.79,48.7,21.93,43.2,41.99,27.05,41.08,12.6,8.29,34.92,16.68,30.84,20.54,39.37,28.97,6.74,26.73,29.73,18.71,11.78,16.74,12.87,17.29,35.25,16.23,33.84,20.08
"2","2017101600_45",78,78.73,78.51,74.54,70.5,72.36,80.75,75.98,77.44,64.12,81.09,87.21,80.83,88.52,82.4,80.35,80.48,88.15,84.79,85.56,110,91.01,7.33,40.42,36.79,17.99,15.35,39.9,20.74,15.07,31.99,24.43,28.61,19.22,10.76,35.78,35.72,15.63,36.53,24.68,20.16,21.4,21.73,13.77
"3","2017101600_3188",40.08,38.29,36.19,39.72,39.04,39.45,33.67,40.86,38.86,56.64,35.27,31.79,40.06,31.39,36.4,35.99,31.09,33.95,35.3,34.31,5.88,31.16,43.25,11.27,6.29,24.74,42.44,8.78,21.71,29.05,15.52,24.75,17.24,22.53,41.92,7.46,24.12,9.19,18.66,18.05,15.81,13.18,13.24,29.39
"4","2017101600_3024",64.55,75.05,79.36,76.22,75.88,80.51,79.13,79.28,77.93,80.07,71.8,81.19,95.18,98.67,83.33,84.03,88.17,109.86,76.13,98.83,84.82,81.76,27.26,15.32,40.66,43.98,20.77,37.39,31.46,24.32,15.63,27.46,45.41,30.27,24.96,31.71,42.44,39.78,39.58,31.7,22.98,33.01,24.08,32.69
"5","2017101600_276",52.12,43.63,41.23,40.54,37.53,37.54,39.59,39.59,40.39,38.83,47.59,37.74,33.75,22.08,33.5,35.31,33.06,9.09,35.44,22.17,35.11,39.79,23.4,36.15,17.31,9.8,13.5,17.16,28.65,34.08,37.49,24.5,5.34,19.42,24.09,19.39,12.7,14.29,18.33,14.64,33.38,18.44,31.69,19.45
"6","2017101600_2487",55.72,40.06,38.95,42.37,42.39,40.72,38.94,40.5,39.18,40.4,48.86,40.21,28.15,20.6,34.18,41.27,35.2,6.93,37.02,20.5,34.53,38.67,35.8,17.79,42.75,44.61,26.26,37.12,34.98,29.51,20.96,30.6,45.39,31.32,34.26,35.52,42.91,27.36,33.6,37.57,24.19,31.87,39.92,32.56
"7","2017101600_2125",56.46,40.89,41.13,43.08,40.45,40.75,42.07,40.57,40.7,38.66,49.16,39.5,31.13,21.01,34.14,38.65,32.53,7.67,38.64,20.59,35.18,39.84,38.2,17.66,43.96,47.45,24.81,38.28,35.73,28.61,20.67,30,46.14,33.36,29.5,38.15,42.58,25.99,37.23,47.45,22.15,39.27,39.79,36.34
"8","2017101600_1783",54.08,37.77,39.04,40.35,37.02,36.71,36.21,37.07,36.51,34.94,48.15,36.22,29.95,20.79,31.89,35.37,30.9,3.79,35.42,21.01,33.06,33.54,36.73,16.27,41.04,43.93,23.51,37.51,35.16,27.95,19.35,29.02,44.29,34.34,27.9,33.19,40.14,24.68,34.16,36.44,20.84,33.84,37.13,30.46
"9","2017101600_1050",41.82,40.67,39.66,40.86,45.49,42.19,37.39,41.73,41.22,56.41,37.84,32.44,37.6,34.53,36.93,35.7,37.47,32.97,35.68,35.83,9.41,32.29,37.57,13.67,8.6,28.43,41.84,11.07,24.07,31.85,16.86,26.21,19.01,25.36,38.73,10.86,14.63,27.78,12.48,19.12,19.2,17.51,24.07,33.57
"10","2017101511_431",46.76,47.27,52.83,47.24,47.66,54.62,45.89,46.22,53.61,48.64,61.17,20.56,39.17,39.98,38.45,38.97,39.59,8.95,19.73,31.18,2.29,38.43,24.53,7.74,13.9,17.87,29.08,8.85,35.08,20.86,37.22,39.11,23.63,16.55,30.28,18.59,11.77,25.95,33.92,20.43,21.57,25.12,18.58,16.16
